country,feature,importance
Benin,maize_area_lag1,0.022220656708065313
Benin,maize_yield_lag1,0.0005827806514189468
Benin,maize_volatility_lag1,0.0025736971317939145
Benin,rice_production_lag1,0.046376215301997696
Benin,rice_area_lag1,0.025665211373588334
Benin,rice_yield_lag1,0.010033673902036532
Benin,rice_volatility_lag1,0.033326551579759646
Benin,sorghum_production_lag1,0.0004642085206234029
Benin,sorghum_area_lag1,0.0018997157497570793
Benin,sorghum_yield_lag1,0.007964816610065668
Benin,sorghum_volatility_lag1,0.0007594471641562511
Benin,wheat_production_lag1,0.0
Benin,wheat_area_lag1,0.0
Benin,wheat_yield_lag1,0.0
Benin,wheat_volatility_lag1,0.0
Benin,yams_production_lag1,0.024591232676218912
Benin,yams_area_lag1,0.0220428144703724
Benin,yams_yield_lag1,0.00048023561546686993
Benin,yams_volatility_lag1,0.0011588208816801012
Benin,gdp_per_capita_lag2,0.0002643626487062577
Benin,water_access_lag2,0.01669896458040361
Benin,sanitation_access_lag2,0.030476856831238002
Benin,political_stability_lag2,0.016309381493857023
Benin,temperature_lag2,0.0006541626455550502
Benin,precipitation_lag2,0.002121086982580437
Benin,cassava_production_lag2,0.004627705992754632
Benin,cassava_area_lag2,0.0027973980816490395
Benin,cassava_yield_lag2,0.0015642585881113918
Benin,cassava_volatility_lag2,0.0031031533921408406
Benin,maize_production_lag2,0.025734552110143832
Benin,maize_area_lag2,0.029517647654750703
Benin,maize_yield_lag2,0.0004858367783802341
Benin,maize_volatility_lag2,0.0044990579211414816
Benin,rice_production_lag2,0.05251785942884179
Benin,rice_area_lag2,0.043816493201890336
Benin,rice_yield_lag2,0.002868402965834055
Benin,rice_volatility_lag2,0.013709347327408344
Benin,sorghum_production_lag2,0.0007567415987562641
Benin,sorghum_area_lag2,0.013789018467801778
Benin,sorghum_yield_lag2,0.01141470822797542
Benin,sorghum_volatility_lag2,0.00036463825243312033
Benin,wheat_production_lag2,0.0
Benin,wheat_area_lag2,0.0
Benin,wheat_yield_lag2,0.0
Benin,wheat_volatility_lag2,0.0
Benin,yams_production_lag2,0.026206444377175522
Benin,yams_area_lag2,0.016363660130521998
Benin,yams_yield_lag2,0.00016833162592953124
Benin,yams_volatility_lag2,0.0016538690083062217
Burkina Faso,temperature,0.0002401883972872326
Burkina Faso,precipitation,0.0007958501271443427
Burkina Faso,gdp_per_capita,0.022931247169385806
Burkina Faso,water_access,0.023047774758984133
Burkina Faso,sanitation_access,0.038511061060783905
Burkina Faso,political_stability,0.025185287332273928
Burkina Faso,ccri_score,0.0
Burkina Faso,cassava_production,0.005543267149533023
